cконцентрированным|сосредоточенным
выкинутых|выброшенных
выкинуто|выброшено
радикально|решительно
изготовляешь|производишь
изготовляй|производи
изготовлял|производил
изготовляла|производила
битвах|сражениях
покорнее|послушнее
наверно|наверное
размышляем|мыслим
размышляете|мыслите
размышляйте|мыслите
размышляла|мыслила
размышляли|мыслили
размышляю|мыслю
размышляют|мыслят
размышляющим|мыслящим
помышляем|раздумываем
помышляете|раздумываете
помышляйте|раздумывайте
помышляла|раздумывала
помышляли|раздумывали
помышляю|раздумываю
помышляют|раздумывают
помышляющим|раздумывающим
выпустить из виду|упустить из виду
припоздала|запоздала
припоздать|запоздать
оцепенела|окаменела
оцепенели|окаменели
обнаружив|заприметив
обнаружил|заприметил
обнаружили|заприметили
обнаружит|заприметит
обнаружить|заприметить
закидываете|забрасываете
закидывайте|забрасывайте
значимее|существеннее
существенным|важным
овладеть|освоить
обладаем|владеем
обладаешь|владеешь
обладайте|владейте
обладал|владел
обладала|владела
обладаю|владею
обладающий|владеющий
прекрасен|красив
прекрасная|красивая
занимательно|увлекательно
прекрасного|красивого
прекрасные|красивые
прекрасным|красивым
прекрасными|красивыми
познаем|узнаем
познает|узнает
познаешь|узнаешь
познавал|узнавал
познавала|узнавала
познавали|узнавали
познают|узнают
познавая|узнавая
кинофильм|фильм
искусство кино|киноискусство
обрушиться|свалиться
малые|мелкие
малым|мелким
малыми|мелкими
малого|мелкого
малому|мелкому
малую|мелкую
не проронив слова|не говоря ни слова
нанизываем|накалываем
нанизывает|накалывает
нанизывать|накалывать
нанизывая|накалывая
раскопан|откопан
раскопанное|откопанное
раскопанные|откопанные
раскопает|откопает
раскопаешь|откопаешь
раскопав|откопав
сосредоточен|устремлен
сосредоточена|устремлена
сосредоточенная|устремленная
подлинная|истинная
подлинного|истинного
подлинному|истинному
подлинный|истинный
подлинным|истинным
подлинными|истинными
подлинных|истинных
подлинную|истинную
как гром среди ясного неба|как снег на голову
предоплата|предварительная оплата
схоже|подобно
схожею|подобной
неопасные|безобидные
неопасным|безобидным
большей частью|преимущественно
киньте|бросьте
существенная|немаловажная
существеннее|значимее
существенное|немаловажное
существенную|немаловажную
существенны|немаловажны
существенные|немаловажные
существенный|немаловажный
существенным|немаловажным
существенными|немаловажными
временами|периодами
временем|периодом
глянь|посмотри
глянуть|посмотреть
тащит|тянет
сердечно|душевно
душевны|сердечны
взволнованность|взбудораженность
взбудораженности|взвинченности
повлиять|подействовать
повлияет|подействует
повлияете|подействуете
повлияют|подействуют
воскрешаются|возрождаются
вдогонку|вдогон
разнообразных|всевозможных
исцелила|излечила
исцелить|излечить
выбрасывание|выкидывание
смотреть|глядеть
основополагающая|основная
основополагающее|основное
первостепенною|основной
основополагающие|основные
основополагающий|основной
основополагающим|основным
основополагающими|основными
основополагающих|основных
обнажено|оголено
нагою|обнаженной
затем|вслед за тем
в самом деле|на самом деле
сражениям|битвам
сражении|битве
бой|битва
сражением|битвой
сражению|битве
храня|сберегая
хранили|сберегали
хранят|сберегают
хранить|сберегать
храним|сберегаем
хранит|сберегает
храните|сберегаете
достичь|достигнуть
наверное|вероятно
прикоснемся|коснемся
прикоснитесь|коснитесь
прочею|иной
мыслил|размышлял
мыслить|размышлять
цельное|неделимое
цельную|неделимую
цельным|неделимым
бесспорно|несомненно
непреклонного|непоколебимого
упустить из виду|выпустить из виду
важная|значимая
важные|значимые
свалить с плеч|сбросить с плеч
разумеется|само собой разумеется
владеет|обладает
владеете|обладаете
владеть|обладать
владеют|обладают
владеющие|обладающие
владеющих|обладающих
вести исследования|проводить исследования
как сквозь землю провалиться|как в воду кануть
фильмов|кинофильмов
фильм|кинофильм
несомненно|без сомнения
недолговременный|краткосрочный
направленность|ориентированность
врет|обманывает
откопаны|выкопаны
откопаете|выкопаете
откопайте|выкопайте
откопать|выкопать
раскапываться|выкапываться
раскапываются|выкапываются
раскапывающемся|выкапывающемся
раскапывающиеся|выкапывающиеся
раскапывающимися|выкапывающимися
раскапывающихся|выкапывающихся
откопал|выкопал
откопали|выкопали
непереносим|невыносим
непереносимы|невыносимы
свободно|вольно
неприметно|малозаметно
особенные|особые
особенных|особых
ничем не ограниченный|не имеющий границ
ненамеренно|непреднамеренно
сосредоточив|сконцентрировав
сосредоточили|сконцентрировали
сосредоточить|сконцентрировать
сосредоточивает|концентрирует
сосредоточиваете|концентрируете
сосредоточиваешь|концентрируешь
сосредоточивай|концентрируй
сосредоточивайте|концентрируйте
сосредоточивать|концентрировать
сосредоточиваю|концентрирую
сосредоточивая|концентрируя
пояснял|объяснял
огонь|пламя
сохранять|сберегать
почуяв|почувствовав
почуял|почувствовал
почуяли|почувствовали
почуем|почувствуем
переживите|почувствуете
стерпим|перетерпим
стерпите|перетерпите
стерпели|перетерпели
стерпеть|перетерпеть
осмыслив|осознав
предопределено|предначертано
предопределены|предначертаны
выдумано|вымышлено
адаптироваться|приспосабливаться
подобно|схоже
подобной|схожею
безобидные|неопасные
безобидным|неопасным
преимущественно|большей частью
бросьте|киньте
немаловажная|существенная
значимее|существеннее
немаловажное|существенное
немаловажную|существенную
немаловажны|существенны
немаловажные|существенные
немаловажный|существенный
немаловажным|существенным
немаловажными|существенными
периодами|временами
периодом|временем
посмотри|глянь
посмотреть|глянуть
тянет|тащит
душевно|сердечно
сердечны|душевны
взбудораженность|взволнованность
взвинченности|взбудораженности
подействовать|повлиять
подействует|повлияет
подействуете|повлияете
подействуют|повлияют
возрождаются|воскрешаются
вдогон|вдогонку
всевозможных|разнообразных
излечила|исцелила
излечить|исцелить
выкидывание|выбрасывание
глядеть|смотреть
основная|основополагающая
основное|основополагающее
основной|первостепенною
основные|основополагающие
основной|основополагающий
основным|основополагающим
основными|основополагающими
основных|основополагающих
оголено|обнажено
обнаженной|нагою
вслед за тем|затем
на самом деле|в самом деле
битвам|сражениям
битве|сражении
битва|бой
битвой|сражением
битве|сражению
сберегая|храня
сберегали|хранили
сберегают|хранят
сберегать|хранить
сберегаем|храним
сберегает|хранит
сберегаете|храните
достигнуть|достичь
вероятно|наверное
коснемся|прикоснемся
коснитесь|прикоснитесь
иной|прочею
размышлял|мыслил
размышлять|мыслить
неделимое|цельное
неделимую|цельную
неделимым|цельным
несомненно|бесспорно
непоколебимого|непреклонного
выпустить из виду|упустить из виду
значимая|важная
значимые|важные
сбросить с плеч|свалить с плеч
само собой разумеется|разумеется
обладает|владеет
обладаете|владеете
обладать|владеть
обладают|владеют
обладающие|владеющие
обладающих|владеющих
проводить исследования|вести исследования
как в воду кануть|как сквозь землю провалиться
кинофильмов|фильмов
кинофильм|фильм
без сомнения|несомненно
краткосрочный|недолговременный
ориентированность|направленность
обманывает|врет
выкопаны|откопаны
выкопаете|откопаете
выкопайте|откопайте
выкопать|откопать
выкапываться|раскапываться
выкапываются|раскапываются
выкапывающемся|раскапывающемся
выкапывающиеся|раскапывающиеся
выкапывающимися|раскапывающимися
выкапывающихся|раскапывающихся
выкопал|откопал
выкопали|откопали
невыносим|непереносим
невыносимы|непереносимы
вольно|свободно
малозаметно|неприметно
особые|особенные
особых|особенных
не имеющий границ|ничем не ограниченный
непреднамеренно|ненамеренно
сконцентрировав|сосредоточив
сконцентрировали|сосредоточили
сконцентрировать|сосредоточить
концентрирует|сосредоточивает
концентрируете|сосредоточиваете
концентрируешь|сосредоточиваешь
концентрируй|сосредоточивай
концентрируйте|сосредоточивайте
концентрировать|сосредоточивать
концентрирую|сосредоточиваю
концентрируя|сосредоточивая
объяснял|пояснял
пламя|огонь
сберегать|сохранять
почувствовав|почуяв
почувствовал|почуял
почувствовали|почуяли
почувствуем|почуем
почувствуете|переживите
перетерпим|стерпим
перетерпите|стерпите
перетерпели|стерпели
перетерпеть|стерпеть
осознав|осмыслив
предначертано|предопределено
предначертаны|предопределены
вымышлено|выдумано
приспосабливаться|адаптироваться
поэтому|потому
таким образом|поэтому
в отличие|в сравнение
внимательный|осмотрительный
абзац|отступ
абрикосовый|абрикосный
абсолютный|безусловный
абсурд|вздор
аванс|задаток
авария|катастрофа
авиаклуб|аэроклуб
автобан|автомагистраль
автобиография|авторезюме
автоинспектор|госавтоинспектор
автомагистраль|магистраль
автомобилист|шофер
аграрно-промышленный|аграрно-индустриальный
аграрный|сельскохозяйственный
агрессивно|враждебно
агрессивность|враждебность
агрессивный|враждебный
агрессия|враждебность
адаптировать|приспособить
адаптируемость|приспособляемость
алмазный|бриллиантовый
алмазовидный|алмазоподобный
алмазоносный|алмазонесущий
алтарь|жертвенник
альбатрос|буревестник
альтернативность|противоположность
альфонс|жиголо
амбициозно|надменно
амбициозность|высокомерие
амбициозный|высокомерный
амбулатория|больница
аморально|безнравственно
аморальность|безнравственность
аморальный|безнравственный
аналитик|аналист
аналогично|сходно
аналогичность|соответствие
аналогичный|сходный
ананасовый|ананасный
анимационный|мультипликационный
анимация|мультипликация
антиалкогольный|противоалкогольный
антиаллергический|противоаллергический
антибактериальный|противобактериальный
антивирусный|противовирусный
антиген|резус-фактор
антидепрессант|стимулянт
антизаконный|противозаконный
антиномичность|парадоксальность
антиномичный|парадоксальный
антиномия|парадокс
антисанитарный|негигиенический
антисептический|дезинфицирующий
антифлогистический|противовоспалительный
античность|древность
антологический|антологичный
антракт|перерыв
антрацит|уголь
апагогический|косвенный
аплодировать|рукоплескать
аплодировщик|рукоплескатель
аплодирующий|рукоплещущий
аплодируя|рукоплеща
аплодисменты|рукоплескания
апокалипсис|откровение
апостол|вестник
аргументация|мотивирование
аргументированно|мотивированно
аргументированность|мотивированность
аргументировать|мотивировать
аргументы|доводы
арифметический|цифирный
архив|картотека
ассистент|помощник
ассоциативность|сочетательность
ассоциативный|сочетательный
ассоциировать|соотносить
ассоциироваться|соотноситься
астроном|звездочёт
асфальтирование|асфальтировка
атеистический|безбожный
аттестат|свидетельство
аудиотория|публика
аферистка|авантюристка
аферный|шулерский
афиша|объявление
афоризм|изречение
аэроклубный|авиаклубный
аэропорт|аэродром
багаж|груз
багажный|грузовой
багроветь|краснеть
багровеющий|краснеющий
багровость|багряность
багрянец|багрец
багряный|багровый
в настоящее время|на данный момент
есть лишь|есть только
предложил|внес предложение
технического осмотра|техосмотр
дал совет|посоветовал
способы|методы
лишь|только
остановить|приостановить
алкоголь|спиртное
предварительным данным|предварительным сведениям
стоять во главе|главенствовать
стоять головой|ручаться
стоять грудью|защищать
стоять на одной точке|коснеть
стоять на страже|охранять
страдалец|мученик
страж|сторож
страждущий|больной
странник|путешественник
странничать|путешествовать
странность|аномалия
странствие|путешествие
странствовать|путешествовать
стремиться| устремляться
с трепетом|благоговейно
с трудом|едва
струить|лить
струить свет|освещать
струиться|течь
структура|конструкция
студеный|холодный
студить|холодить
ступень|степень 
стыдливость|стыд
суетливый|беспокойный|
сумасшествие|безрассудство| безумие
сумерки|вечер
сундук|ящик
супружеский|брачный
супружество|брак
съезд|собрание
сюжет|содержание
табор|лагерь
табун|стадо
таинственный| тайный
таинство|тайна
таить| скрывать 
таки|действительно
так называемый|мнимый
так-таки|действительно
тактический|хитрый
талант|дарование| способность
талантливость|дарование| способность
талантливый|способный
талисман|амулет
там и сям|кое-где
танцмейстер|танцовщик
тараторить|болтать|говорить
таращить глаза|глядеть|смотреть
таращиться|глядеть
тариф|цена
таскать за нос|обманывать
тасовать|перемешивать
таять от восторга|таять от восхищения|восторгаться| радоваться
твердить|утверждать|повторять
текущий|нынешний
телеграмма|известие
телеграфировать|извещать
телефонировать|извещать
тема|содержание
темень|темнота
тем не менее|все-таки|однако
темница|тюрьма
темнота|тьма|темень|потемки
темный|мрачный|пасмурный| тусклый
тем паче|тем более
темперамент|характер
тенденциозно|умышленно
тенденциозный|пристрастный
тенденция|желание
теперешний|нынешний
Теперь|ныне|нынче|сегодня
теребить|беспокоить
терзание|мука
терзать|мучить
терзаться|мучиться
смолчать|промолчать
терпеть голод и холод|бедствовать
терроризировать|угрожать
терять надежду|отчаиваться
теряться в догадках|догадываться|предполагать
теснить|притеснять|утеснять|стеснять
жать|нажимать|прижимать|придавливать
налегать|наступать|наваливаться
какие либо|какие-то
адепт|ученик
не согласиться|поспорить
азарт|энтузиазм
прикупить|купить
купил|прикупил
перспективной|многообещающей
молчу|не говорю
более|больше
достало|задолбало
окончательно и бесповоротно|бесповоротно
произошло|случилось
запостить|опубликовать
микроволновка|микроволновая печь
после того, как|после того, что
проба|тестирование
состоит в том|заключается в том
тех пор|того момента
следует отметить|нужно отметить
определяется по|вычисляется по
тем не менее|несмотря на это
это означает|это значит
находящимися под охраной|охраняемыми
самым знаменитым|очень известным
чешской республики|чехии
прекрасного|наикрасивейшего
произведении архитектуры|архитектурного произведения
остальных|других
изначально|первоначально
неподалеку|поблизости
бывший|в прошлом,
самые известные|известнейшие
единственное в своем роде|уникальное
более близких|наиболее близких
самый старый|старейший
берущую свое начало|начинающуюся
величественный|поражающий своим величием
несчетное количество|несметное количество
наряду с|вместе с
наряду со|вместе с
в стиле модерн|модерновом стиле
отправимся на прогулку|пойдем гулять
знаменитой|известной
готической эпохе|эпохе готики
привлекут наше внимание|привлекут к себе внимание
помпезные|напыщенные
необходимо|нужно
примерно|приблизительно
своего рода|типа
в связи с тем, что|ввиду того, что
беспрецедентные|необыкновенные
юзая|используя
не более того|и не больше того
своеобразный|своеобычный
что дает возможность|что предоставляет возможность
что даёт возможность|что предоставляет возможность
позволяющий осуществлять|с помощью которого можно осуществлять
наиболее|более
обесценивание|удешевление
тем более что|к тому же,
помимо|кроме
хорошо развитую|отлично развитую
небольшие|маленькие
все виды|любые виды
предоставляет возможность|дает возможность
обезопасившей|защитившей
свободный|вольный
нелепой|глупой
довольно тяжело|непросто|достаточно тяжело|тяжко
лет тюрьмы|лет заключения
половины|пятидесяти процентов
преступлений|правонарушений
понятна|ясна
свести к минимуму|уменьшить|минимизировать|
преступления|правонарушения
кока-кола|coca-cola
не так давно|недавно|относительно недавно|
листик|листок|листочек|
самых больших|самых крупных
веселая атмосфера|атмосфера веселья
лицензию|разрешение
действительно|и правда,
не смотря на|не взирая на|несмотря на|
ранее|раньше
очень легко|просто
символизирующий|отражающий|показывающий|
как показывает статистика|по статистике
пару раз|два раза
кража|воровство
на самом деле|вообще-то
килограммами|кг
грамма|гр.
увидеть своими глазами|увидеть лично
пытаются|стараются
приветливые|дружелюбные
правок|поправок
такая политика|такая позиция
значительно усилился|весьма усилился
любителей выпить|любителей алкоголя
вы решили|вы надумали
продажа|реализация
имеет успех|пользуется популярностью
неправильного|ошибочного|не правильного|
вы лишитесь|будете лишены
законом|законодательством
преступлением|правонарушением
законах|законодательстве
наверняка|скорее всего
равен нулю|нулевой
наркозависимые люди|наркоманы|наркоши|нарики
воспрещен|запрещен
небольшой|маленький
впечатляет|поражает
на сегодняшний день|нынче|на данный момент|в наши дни
основным|главным|превалирующим|
обязательно|непременно
просто неприятно|весьма неприятно
огромная|здоровенная
недорогой|доступный по цене
людно|многолюдно
приятная атмосфера|великолепная атмосфера
легализованы|разрешены
владельцы|хозяева
присуще|свойственно
потерять|лишиться
кажется|видится
запрещена|не разрешена
всего в нескольких шагах|недалеко
хороший|неплохой
теперь я понимаю|вот сейчас я понимаю
не имея возможности|безо всякой возможности
полчаса|тридцать минут
в переводе означает|переводится как
в переводе значит|в переводе означает|переводится как|
великолепен|впечатляющ
друг друга|друг дружку
бесплатно|даром
в 7 веке|в седьмом веке
к северу от|севернее
в плохих отношениях|в непростых отношениях
с точки зрения|на взгляд
малая часть|маленькая часть|небольшая часть|
захватить власть|получить власть
отталкивающими|неприглядными
неприглядными|серыми|некрасивыми|
достоверный|правдивый
красивые|привлекательные
откровенно|неприкрыто
прогуливаясь|гуляя
нехватки|недостатка
значительная|важная|важнейшая|
серыми|невзрачными
серость|невзрачность|неприглядность|
которая позволит|позволяющей
аккумуляторные батареи|аккумуляторы
датчики|детекторы
в теории|теоретически
бесчисленное множество|очень много
например|к примеру
автономные|независимые
и детям и взрослым|всем возрастам
крупнейший|один из крупных
имеются также|также в наличии|также есть|
оснащенный|оборудованный
памятник|монумент
в летнее время|летом
можно отнести|относится
разместился|расположился
ожидают|ждут
на высоту птичьего полета|высоко в небо
восхитительная|умопомрачительная|красивейшая|
удивительные|интересные
осталось до|остается до
в любой момент|когда угодно|если нужно,|
сувениры|подарки
множество|очень много|много|
увлекательных|интересных
здесь|тут|в этом месте|
обозначением|указанием
посетителей|гостей|визиторов|
на 200 метров|на двести метров
развлекательный центр|центр развлечений
мозгами пошевелить|подумать
радоваться жизни|наслаждаться жизнью
этой зимой|в эту зиму
расположен|находится
сохранил в себе|не потерял|не растратил|
способность|умение
в нескольких километрах|неподалеку
выпускают изделия|изготавливают изделия
разумеется|естественно
в частности|например
знаменитого|известнейшего|известного|
со всего мира|из всех стран|отовсюду|
ежегодно|каждый год|из года в год|
каждый час|ежечасно
пешеходную прогулку|пешую прогулку
достопримечательности|интересные места
приобрести|купить
агентствах путешествий|турагентствах|туристических агентствах|
стоимость|цена
удобное время|любое время|любое удобное время|
русскоязычным|говорящим по-русски
англоязычным|говорящим по-английски
предоставляет право|дает право
гида|экскурсовода
по-прежнему|все еще
останавливается|замирает
предлагает|приглашает
десятилетий|десятков лет
глубокой ночью|поздней ночью
стиль жизни|жизненный стиль
есть даже|даже есть
непередаваемый|невоспроизводимый|уникальный|
знаменитостей|известных людей
бьет ключом|бурлит
привлекает|притягивает
понадобилось|стало нужно
служить в армии|нести службу в армии
удостоился|был удостоен
сохраняя|храня
крупнейшие|самые крупные
в те времена|в те дни
миллион возможностей|множество возможностей|множество способов|миллион способов
поэтому|из-за этого
утверждают|говорят
соседствующая|располагающаяся по соседству
безопаснее|спокойнее
примечательный|интересный
один из них|один из которых
переехав|переместившись
во времена|в дни
ощущает|чувствует
лозунг|девиз
столицы|главного города
снова стал|опять стал
телесериале|сериале
судя по всему|по всем показателям
значительного числа|большого числа
коллосальных|огромнейших
второй по величине|второй по размеру
самый большой|крупнейший
старые времена|былые времена
между прочим|кстати
всемирно известен|имеет мировую известность
индустрии развлечений|развлекательной индустрии|индустрии отдыха|
соорудили|построили
вместе взятых|всех вместе
построен|сооружен
это было|было это
богатейшую историю|давнюю историю
образовавшееся|появившееся
мощнейший|мощный
комплекс складов|складской комплекс
с наступлением сумерек|с наступлением темноты
периодически|время от времени
знаменит|известен
разнообразными|разными
на каждом шагу|абсолютно везде
суть этих|смысл этих
различных|разнообразных
сфотографироваться на память|запечатлиться
не спеша|не торопясь
азиатских женщин|азиаток
каждые 30 минут|каждые полчаса
в каждом|в любом
большое количество|огромное количество|огромнейшее количество|масса
необычных|уникальных|удивительных|
приходит в голову|приходит на ум
самый знаменитый|знаменитейший|самый известный|
представляет собой|есть
шофера такси|таксиста
мзду|плату
цветет пышным цветом|расцветает
достаточно невинное|весьма невинное
достаточно популярны|весьма популярны
это и понятно|оно и понятно|естественно|
бывает даже|случается
кому хочется|кому надо
расхаживают|прогуливаются
окультуренная|облагороженная
навалом|полным-полно
гораздо|намного
служащего банка|банковского служащего
бордель|публичный дом|дом свиданий|
смирно|спокойно|тихо|
проще|легче
абсолютно все|все
запросто|легко
с успехом|запросто|легко|
прочих|других
сложно|непросто
ежедневно|каждый день
нестандартный|уникальный
продает|реализует
баснословно|неслыханно
абсолютно любой|произвольный|любой|
закупает|приобретает|покупает|
лишь|только|только лишь|
максимальную|наибольшую
за недорого|дешево|недорого|
сша|USA
USA|США
рекламный ролик|рекламный видеоролик
официально запущен|официально открыт
видеоролика|ролика|видео ролика|
блоги|онлайн-дневники
маленькую|небольшую
не помышлял|не думал
не помышляя|не думая
не помышляли|не думали
не думал|не помышлял
не думая|не помышляя
не думали|не помышляли
тесный| узкий| сжатый| ограниченный
типический| типичный|образцовый
тиран|безжалостный| жестокий| мучитель
тихоня|кроткий|молчаливый
тихохонько|тихо
тише воды|ниже травы|кроткий
тишина|тишь|затишье|молчание
тождественный|одинаковый
тождество|сходство
толкование|объяснение
толковать|беседовать|объяснять|разговаривать 
толковый|умный
толпиться|толкаться|тесниться|напирать
томительный|мучительный|неприятный|трудный
томить|мучить
томиться|мучиться|страдать
томление|мука|печаль
Торговец|торгаш|лавочник|купец
скупщик|перекупщик|коммерсант
торговое помещение|магазин|лавка
торжество|пир|победа|праздник
торжествовать|веселиться|праздновать|радоваться
торопить|подгонять|погонять
торопиться|спешить
торопливо|быстро|впопыхах
тоска|печаль
тоскливый|печальный
Тосковать|скучать|грустить
точить лясы|болтать
точка опоры|основание
точный|истинный|верный|достоверный
точь в точь|как раз|в самый раз|как нельзя более
дословно|слово в слово
трагический|несчастный
трактовать|говорить
транжирить|тратить
трапеза|еда
трапезничать|есть
трата|расход
траур|печаль
траурный|печальный
тревога|беспокойство|волнение|забота
тревожиться|волноваться|беспокоиться|расстраиваться
триумф|победа|праздник|хвала
трогать|касаться|дотрагиваться|прикасаться
тропа|дорога
тропинка|тропа|дорога
тротуар|дорога
трусливый|боязливый|робкий|пугливый
трусость|боязливость|робость|малодушие
туманный|неясный
турист|путешественник
тусклый|неясный|темный
тут и там|кое-где
тут-то|тогда 
убедительный|доказательный
он отметил|он заметил
заместитель|зам.
группа ученых|группа исследователей
в ближайшее время|в скором времени
разработать|составить
написать|составить
других|иных
иных|любых других
непросто|сложно|нелегко
реально|возможно
желательно|лучше
своим|собственным
точно|наверняка|сто процентов
наверняка|точно|сто процентов
четко|ясно
разумеется|конечно|естественно
очень-то|слишком
слишком|чрезмерно
реализовать|воплотить в жизнь
разнообразный|широкий
такого ассортимента|такого выбора ассортримента
чем-либо|чем-нибудь
в обязательном порядке|обязательно
для начала|во-первых
учитывать|принимать во внимание|принять во внимание
в первую очередь|в обязательном порядке|для начала|прежде всего
прежде всего|во первых
во-первых|для начала
туфельки|туфли
сделать так|организовать
организовать|осуществить
оптимальным|наилучшим|самым удачным
вполне|весьма|в полной мере
придется|будет необходимо
весомой|основной|главной|ключевой
огорчаться|расстраиваться
